id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,censoe_mujeres,censoe_hombres,censoe_total
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20150001,1,RICO,BETANCUR,GABRIEL JAIME,111796,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20150002,2,SALAZAR,JARAMILLO,FABIO ALONSO,37241,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18480001,3,,,RETIRADO (A),1606,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20050001,4,HOYOS,MENESES,HECTOR MANUEL,8934,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20150003,5,GUTIERREZ,ZULUAGA,FEDERICO ANDRES,246221,1,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20130001,6,VELEZ,URIBE,JUAN CARLOS,236632,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,997,TARJETAS NO MARCADAS,,,28240,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,20583,0,814624,671380,1486004
620150001,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,45086,0,814624,671380,1486004
620150002,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,18480001,1,GUTIERREZ,GUZMAN,MARIO DE JESUS,3102,1,7292,7860,15152
620150002,2015,Alcaldía Municipal,Octubre 25,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20050002,2,ARANGO,RAMIREZ,OTONIEL MAURICIO,1160,0,7292,7860,15152
