id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,17130,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,75118,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,18490002,4,VASQUEZ,,ALVARO,143663,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,349802,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,997,TARJETAS NO MARCADAS,,,35896,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,998,VOTOS NULOS,,,13723,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,999,VOTOS EN BLANCO,,,40494,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,30,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,155,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,18490002,4,VASQUEZ,,ALVARO,3121,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,4693,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,997,TARJETAS NO MARCADAS,,,493,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,998,VOTOS NULOS,,,187,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,999,VOTOS EN BLANCO,,,71,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,4,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,177,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,18490002,4,VASQUEZ,,ALVARO,656,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,277,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,,997,TARJETAS NO MARCADAS,,,106,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,,998,VOTOS NULOS,,,8,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,,999,VOTOS EN BLANCO,,,9,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,10,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,487,0
